MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIBUS,198604,1014.432,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198605,1084.141,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198606,1241.675,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198607,1434.162,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198608,1301.069,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198609,1192.001,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198610,1140.981,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198611,1141.859,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198612,1246.239,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198613,14443.716,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198701,1319.189,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198702,1135.326,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198703,1155.024,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198704,1087.122,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198705,1193.845,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198706,1342.13,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198707,1495.081,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198708,1481.1,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198709,1252.508,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198710,1207.229,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198711,1182.788,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198712,1322.069,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198713,15173.411,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198801,1418.055,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198802,1283.283,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198803,1228.043,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198804,1131.426,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198805,1181.465,1,Coal Consumed by the Electric Power Sector,Trillion Btu
